id,index,period,timestamp,minute,second,possession,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,duration,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,tactics.formation,tactics.lineup,related_events,location,player.id,player.name,position.id,position.name,pass.recipient.id,pass.recipient.name,pass.length,pass.angle,pass.height.id,pass.height.name,pass.end_location,pass.body_part.id,pass.body_part.name,pass.type.id,pass.type.name,carry.end_location,pass.outcome.id,pass.outcome.name,ball_receipt.outcome.id,ball_receipt.outcome.name,pass.cross,pass.assisted_shot_id,pass.shot_assist,pass.xclaim,shot.statsbomb_xg,shot.end_location,shot.key_pass_id,shot.technique.id,shot.technique.name,shot.body_part.id,shot.body_part.name,shot.type.id,shot.type.name,shot.outcome.id,shot.outcome.name,shot.first_time,shot.freeze_frame,goalkeeper.end_location,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.type.id,goalkeeper.type.name,under_pressure,counterpress,goalkeeper.outcome.id,goalkeeper.outcome.name,pass.switch,pass.through_ball,pass.technique.id,pass.technique.name,goalkeeper.body_part.id,goalkeeper.body_part.name,ball_recovery.recovery_failure,dribble.outcome.id,dribble.outcome.name,duel.type.id,duel.type.name,duel.outcome.id,duel.outcome.name,out,clearance.left_foot,clearance.body_part.id,clearance.body_part.name,off_camera,clearance.right_foot,shot.statsbomb_xg2,goalkeeper.technique.id,goalkeeper.technique.name,dribble.nutmeg,interception.outcome.id,interception.outcome.name,dribble.no_touch,pass.outswinging,clearance.head,dribble.overrun,ball_recovery.offensive,pass.inswinging,foul_won.defensive,pass.aerial_won,clearance.aerial_won,pass.goal_assist,foul_committed.card.id,foul_committed.card.name,shot.aerial_won,foul_committed.penalty,foul_won.penalty,block.offensive,shot.one_on_one,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,miscontrol.aerial_won,pass.cut_back,injury_stoppage.in_chain,shot.deflected,block.deflection
07a22d5b-5909-48ae-8a01-07799ac8d86d,1649,1,00:44:10.095,44,10,82,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['eb9045a3-d939-40f0-9012-2d7fb54c214e'],"[13.9, 51.5]",10185.0,Stephanie Houghton,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06b64379-f382-4977-80ed-53f130a29f04,1650,1,00:44:10.095,44,10,82,0.010107953,0.010162135,-5.41816e-05,0.011843802,0.011688051,0.0001557516,-0.0002099331,2.062009,43,Carry,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,"['07a22d5b-5909-48ae-8a01-07799ac8d86d', '4f7fb958-734c-4add-834d-e9b7ad33f958']","[13.9, 51.5]",10185.0,Stephanie Houghton,3.0,Right Center Back,,,,,,,,,,,,"[15.3, 51.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f7fb958-734c-4add-834d-e9b7ad33f958,1651,1,00:44:12.157,44,12,82,0.011476395,0.010107953,0.0013684416,0.012535585,0.011843802,0.0006917827,0.0006766589,1.6229,30,Pass,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['214ebd26-b3ca-4b8c-aa95-e10071c6ee2f'],"[15.3, 51.5]",10185.0,Stephanie Houghton,3.0,Right Center Back,10252.0,Alex Greenwood,21.497908,-1.3551546,1.0,Ground Pass,"[19.9, 30.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214ebd26-b3ca-4b8c-aa95-e10071c6ee2f,1652,1,00:44:13.780,44,13,82,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['4f7fb958-734c-4add-834d-e9b7ad33f958'],"[19.9, 30.5]",10252.0,Alex Greenwood,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3061376-1450-4b33-a3aa-a250ea9ebebe,1653,1,00:44:13.780,44,13,82,0.012626566,0.011476395,0.0011501713,0.0117620025,0.012535585,-0.0007735826,0.0019237539,1.708701,43,Carry,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,"['214ebd26-b3ca-4b8c-aa95-e10071c6ee2f', '7b2acfbd-20f2-4c19-82fd-5823bf7af91c']","[19.9, 30.5]",10252.0,Alex Greenwood,5.0,Left Center Back,,,,,,,,,,,,"[25.1, 24.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7b2acfbd-20f2-4c19-82fd-5823bf7af91c,1654,1,00:44:15.489,44,15,82,0.014433507,0.012626566,0.0018069409,0.01054299,0.0117620025,-0.0012190128,0.0030259537,0.751066,30,Pass,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['1be7005e-947b-4590-89d9-0a9fc5253eb5'],"[25.1, 24.1]",10252.0,Alex Greenwood,5.0,Left Center Back,25632.0,Yui Hasegawa,13.173458,0.26891515,1.0,Ground Pass,"[37.8, 27.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1be7005e-947b-4590-89d9-0a9fc5253eb5,1655,1,00:44:16.240,44,16,82,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['7b2acfbd-20f2-4c19-82fd-5823bf7af91c'],"[37.8, 27.6]",25632.0,Yui Hasegawa,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659e647c-3592-4e2e-9cff-7cb0a98b4cd0,1656,1,00:44:16.240,44,16,82,0.013458883,0.014433507,-0.0009746235,0.010495255,0.01054299,-4.77349e-05,-0.0009268885,2.373739,43,Carry,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,"['1be7005e-947b-4590-89d9-0a9fc5253eb5', 'e2c43080-8504-477b-8dab-f2f346d8d6bb']","[37.8, 27.6]",25632.0,Yui Hasegawa,10.0,Center Defensive Midfield,,,,,,,,,,,,"[40.4, 17.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2c43080-8504-477b-8dab-f2f346d8d6bb,1657,1,00:44:18.614,44,18,82,0.016244434,0.013458883,0.0027855504,0.010296253,0.010495255,-0.0001990022,0.0029845526,0.75096,30,Pass,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['9704bf00-57f8-4dcb-b9c6-b8a8143c5089'],"[40.4, 17.7]",25632.0,Yui Hasegawa,10.0,Center Defensive Midfield,19416.0,Laura Coombs,11.813974,0.26550967,1.0,Ground Pass,"[51.8, 20.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9704bf00-57f8-4dcb-b9c6-b8a8143c5089,1658,1,00:44:19.365,44,19,82,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,['e2c43080-8504-477b-8dab-f2f346d8d6bb'],"[51.8, 20.8]",19416.0,Laura Coombs,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
